lawd_cd,lat,lon
11000,,
11110,37.594920452568445,126.97731707128663
11140,37.56014287215068,126.99596829344604
11170,37.53138555818407,126.97990762812958
11200,37.55103004299689,127.04105879200252
11215,37.5467216566855,127.08574576556278
11230,37.58195725266282,127.05484821365535
11260,37.59781901928176,127.09288394089305
11290,37.6057014340731,127.01757833591746
11305,37.643477317850504,127.0111848426378
11320,37.66910527854015,127.03236699506941
11350,37.652516328756455,127.07503364821082
11380,37.619215352284264,126.92702832847841
11410,37.5777864554709,126.93906323252918
11440,37.55931221947648,126.90826402116168
11470,37.52478964260824,126.85547920735567
11500,37.56123594430331,126.82280363915658
11530,37.49440412360784,126.85630207676708
11545,37.46056912325703,126.90081766859299
11560,37.52230984585182,126.91016941316408
11590,37.498876355584734,126.95164017998087
11620,37.467376557445554,126.94533551339654
11650,37.47329793162657,127.03120840421863
11680,37.496645844191384,127.06297492209956
11710,37.50562075651782,127.11529107477763
11740,37.55045135583497,127.14701460054029
26000,,
26110,35.10547795912984,129.03154022310093
26140,35.102964521128335,129.01491283727694
26170,35.12918660014708,129.04458612987537
26200,35.07865091219436,129.06482018273815
26230,35.16524532953858,129.0430601317811
26260,35.20621201111567,129.07921877121478
26290,35.12554958975971,129.0943046029784
26320,35.22925310552126,129.02346514041486
26350,35.19385915168063,129.15358572597637
26380,35.08888360370167,128.9738068591477
26410,35.25889763879084,129.09152806657667
26440,35.13837167951079,128.8924423074111
26470,35.18241803770736,129.08293435818422
26500,35.16130855664375,129.111201459703
26530,35.158035054895244,128.98659393309734
26710,35.29803258371453,129.20096362294734
27000,,
27110,35.866535246819396,128.59360566085465
27140,35.934444013640466,128.68564987549829
27170,35.87500168460091,128.54969757064066
27200,35.83517827547345,128.5853297037453
27230,35.928927641114825,128.57720558270938
27260,35.83384973808638,128.66127321949293
27290,35.82748641225669,128.52920397748989
27710,35.75975385702302,128.49822427930192
27720,36.17011730694331,128.64811864284854
28000,,
28110,37.46909326868409,126.4828510037034
28140,37.48333859271358,126.63903267991006
28177,37.45259566081086,126.66465488492572
28185,37.39592591560156,126.6485672302181
28200,37.431217136195755,126.72659551685298
28237,37.49666082011463,126.72120829444579
28245,37.557299393735626,126.73470319136923
28260,37.557885247901325,126.65582511337946
28710,37.712459041688135,126.40204663461628
28720,37.54260601898848,125.63045738613401
29000,,
29110,35.11738405016891,126.94946222857807
29140,35.13569668861664,126.85072451951646
29155,35.09405737030615,126.85673845568795
29170,35.19324912848346,126.92546678529982
29200,35.16504313815889,126.75290304266021
30000,,
30110,36.323965338908984,127.47506268010535
30140,36.28087229010491,127.41105672133291
30170,36.280263233744265,127.34512535641788
30200,36.376821665474246,127.33329803426847
30230,36.412190419064345,127.44015906122607
31000,,
31110,35.57104830340339,129.3082426850156
31140,35.51605165895405,129.32819006482626
31170,35.525580003637685,129.42606946719513
31200,35.61006240026298,129.3798015100092
31710,35.54615946761013,129.18759292909556
36110,36.560728968806394,127.25872201450294
41000,,
41110,,
41111,37.313967187002284,127.00345401345132
41113,37.26052554736263,126.97974970323598
41115,37.27746329867004,127.01623810137768
41117,37.27502464977072,127.05672709582183
41130,,
41131,37.43516717494561,127.1041583560688
41133,37.43343440317201,127.16391274367358
41135,37.379300730716686,127.10606608071491
41150,37.73619292721292,127.06842774478784
41170,,
41171,37.40413991219824,126.91138190456367
41173,37.40039522259923,126.9555021928392
41190,37.504262895988404,126.78870937545797
41192,,
41194,,
41196,,
41210,37.445174229235114,126.86469222085181
41220,37.01183164604779,126.9877151007286
41250,37.916542983523364,127.0779034219383
41270,,
41271,37.31600997993652,126.87081436637631
41273,37.28190875514402,126.69419067030981
41280,,
41281,37.655821669020604,126.87864981315248
41285,37.67979006207732,126.79735165457677
41287,37.68032571297946,126.72785940341748
41290,37.433846123786225,127.00268022985165
41310,37.599227838195276,127.13123014206971
41360,37.66255685301426,127.24364443032722
41370,37.163293259204366,127.0513235707122
41390,37.38624615880275,126.78399040755389
41410,37.343484715799974,126.92113777210034
41430,37.3623965549682,126.98964174815448
41450,37.52282010490324,127.20594399448129
41460,,
41461,37.20336998673283,127.25290664532378
41463,37.26743854758119,127.1213441019258
41465,37.33344787190019,127.0715458584315
41480,37.856269527481025,126.81068657706176
41500,37.20983009806234,127.4809313359526
41550,37.03502502267669,127.30276069051727
41570,37.68179015471749,126.62638675518221
41590,37.16523062367935,126.87487079364173
41610,37.40312000509702,127.30117209903192
41630,37.808695655917596,127.00115517423687
41650,37.96989231073454,127.25042364002802
41670,37.30250497266103,127.61567307880085
41800,38.09277283471464,127.02453346326911
41820,37.81856681241153,127.45019198125466
41830,37.518036565632414,127.57919461579542
43000,,
43110,,
43111,36.592149484661945,127.58496639095131
43112,36.547294203472475,127.43841386154538
43113,36.64697078179162,127.36927581806711
43114,36.72057011797707,127.49131197627115
43130,37.015238110761516,127.89555874979315
43150,37.060072283419736,128.14090712324264
43720,36.48995371000443,127.72932957784754
43730,36.32045893321146,127.65658911966992
43740,36.15967356034019,127.81426580990066
43745,36.78649106839527,127.60460431910066
43750,36.871020310255716,127.44043422463827
43760,36.76968608977755,127.82958250851776
43770,36.9762590733083,127.6141837828235
43800,36.99451167743171,128.38788607094926
44000,,
44130,,
44131,36.76412452624094,127.22097320612274
44133,36.892721840880846,127.16181373743215
44150,36.479906522608466,127.07514776597544
44180,36.3433603950897,126.59292170809076
44200,36.80735134201587,126.98008201732074
44210,36.78409690547994,126.46356198757458
44230,36.1909051381406,127.15770610161054
44250,36.291603676050876,127.23442043906422
44270,36.90340167468911,126.6528684677632
